date,open,high,close,low,volume,amount
2017-02-13,26.45,27.36,26.96,26.45,4992037.0,134867972.0
2017-02-10,27.73,27.73,26.69,26.62,7611204.0,206552563.0
2017-02-09,28.26,28.73,27.83,27.71,9672926.0,271628233.0
2017-02-08,27.27,28.28,28.22,26.99,8740738.0,242895050.0
2017-02-07,27.79,27.79,27.44,27.14,5778684.0,158380313.0
2017-02-06,26.61,27.78,27.7,26.61,8457833.0,231601395.0
2017-02-03,26.55,26.85,26.45,26.0,4041959.0,106686994.0
2017-01-26,26.46,26.7,26.55,26.17,3919147.0,103617928.0
2017-01-25,25.85,26.6,26.46,25.75,4086910.0,107726857.0
2017-01-24,26.97,27.4,26.21,26.15,6341550.0,169320302.0
2017-01-23,26.46,27.76,27.23,26.31,9337099.0,251882504.0
2017-01-20,25.4,27.26,26.43,25.33,9232093.0,243240511.0
2017-01-19,25.66,27.93,26.26,24.87,13154299.0,345072478.0
2017-01-18,27.5,28.7,26.58,26.12,15280155.0,418158537.0
2017-01-17,24.01,26.62,26.62,23.28,6763272.0,170811373.0
2017-01-16,25.2,25.59,24.2,23.16,5016485.0,124008239.0
2017-01-13,25.3,25.44,25.29,24.52,4390259.0,109480741.0
2017-01-12,25.14,25.83,25.34,24.91,4366420.0,110788569.0
2017-01-11,25.55,25.99,25.07,25.06,3854037.0,97942575.0
2017-01-10,26.51,26.92,25.74,25.68,4639329.0,122140412.0
2017-01-09,25.96,26.97,26.55,25.72,4776866.0,126025269.0
2017-01-06,27.3,27.42,26.03,26.0,6986699.0,185490872.0
2017-01-05,28.2,28.53,27.56,27.52,6050094.0,169404582.0
2017-01-04,28.3,28.3,28.13,27.9,4451966.0,125017898.0
2017-01-03,27.53,28.34,28.33,27.41,6052795.0,169508656.0
2016-12-30,27.45,27.79,27.45,27.18,3770859.0,103783663.0
2016-12-29,27.21,28.18,27.49,27.0,5217229.0,144431161.0
2016-12-28,28.0,28.17,27.39,27.22,4952995.0,137151514.0
2016-12-27,28.29,28.78,28.14,27.95,5619144.0,159194152.0
2016-12-26,27.01,28.68,28.43,26.7,8223242.0,228667606.0
2016-12-23,29.68,29.83,27.57,27.41,9814942.0,279941716.0
2016-12-22,30.03,30.19,29.9,29.51,5453346.0,163037343.0
2016-12-21,30.7,30.89,30.22,29.35,9511633.0,285480704.0
2016-12-20,30.71,31.3,30.57,30.31,7085573.0,218328843.0
2016-12-19,31.66,31.87,30.91,30.63,8723404.0,271615827.0
2016-12-16,31.4,32.3,32.01,31.02,10803341.0,342682329.0
2016-12-15,31.0,32.37,31.64,31.0,10770049.0,341024761.0
2016-12-14,31.48,32.63,30.91,30.55,12307950.0,387441437.0
2016-12-13,31.5,33.18,31.93,30.6,14478665.0,460963631.0
2016-12-12,35.7,35.7,32.79,32.79,18934414.0,639406869.0
2016-12-09,38.4,38.5,36.43,36.15,26988196.0,1005977785.0
2016-12-08,35.9,39.89,39.89,35.8,33606046.0,1315779551.0
2016-12-07,36.72,36.88,36.26,34.6,19069911.0,681255152.0
2016-12-06,35.65,38.65,37.13,35.4,24150513.0,893907642.0
2016-12-05,41.6,41.7,36.79,36.29,34349972.0,1340656879.0
2016-12-02,37.44,38.82,38.82,37.05,14952433.0,567328916.0
2016-12-01,35.29,35.29,35.29,35.29,6249043.0,220528727.0
2016-11-30,32.08,32.08,32.08,32.08,863900.0,27713912.0
2016-11-29,29.16,29.16,29.16,29.16,303961.0,8863503.0
2016-11-28,26.51,26.51,26.51,26.51,196878.0,5219236.0
2016-11-25,24.1,24.1,24.1,24.1,115937.0,2794082.0
2016-11-24,21.91,21.91,21.91,21.91,44635.0,977953.0
2016-11-23,19.92,19.92,19.92,19.92,42600.0,848592.0
2016-11-22,18.11,18.11,18.11,18.11,41000.0,742510.0
2016-11-21,16.46,16.46,16.46,16.46,36901.0,607390.0
2016-11-18,14.96,14.96,14.96,14.96,17719.0,265076.0
2016-11-17,13.6,13.6,13.6,13.6,9991.0,135878.0
2016-11-16,12.36,12.36,12.36,12.36,9600.0,118656.0
2016-11-15,11.24,11.24,11.24,11.24,10061.0,113086.0
2016-11-14,10.22,10.22,10.22,10.22,7800.0,79716.0
2016-11-11,7.74,9.29,9.29,7.74,9029.0,83724.0
