date,open,high,close,low,volume,amount
2017-03-28,28.87,29.45,28.25,28.08,4639455.0,134109874.0
2017-03-27,29.5,29.68,29.08,28.78,6817803.0,198784468.0
2017-03-24,29.98,30.42,29.88,29.81,8309983.0,250388018.0
2017-03-23,29.85,30.28,30.18,28.88,12201327.0,363509432.0
2017-03-22,29.1,30.18,29.79,28.88,8058763.0,237642625.0
2017-03-21,29.46,29.62,29.57,29.1,5367007.0,157725308.0
2017-03-20,28.81,29.43,29.41,28.61,5303083.0,154061578.0
2017-03-17,29.68,29.9,29.04,29.0,9780716.0,288247764.0
2017-03-16,28.49,30.44,29.88,28.48,13205275.0,389123114.0
2017-03-15,28.35,28.64,28.35,28.03,5705681.0,161496516.0
2017-03-14,28.91,29.19,28.77,28.61,8851689.0,255595362.0
2017-03-13,28.19,28.86,28.84,27.31,8330003.0,234268608.0
2017-03-10,28.06,29.0,28.4,27.95,9664838.0,276239052.0
2017-03-09,28.46,28.48,28.11,27.6,6677932.0,186584690.0
2017-03-08,28.16,28.72,28.46,28.02,10680482.0,303078039.0
2017-03-07,27.63,28.2,28.14,27.31,10220623.0,283626394.0
2017-03-06,26.79,28.2,27.79,26.6,9699898.0,267219465.0
2017-03-03,26.69,26.75,26.61,26.34,3792934.0,100641132.0
2017-03-02,27.14,27.32,26.99,26.68,4841021.0,130768831.0
2017-03-01,27.18,27.48,27.14,26.9,4359651.0,118502424.0
2017-02-28,26.75,27.28,27.17,26.66,4374851.0,118200350.0
2017-02-27,26.98,27.53,26.73,26.62,5911509.0,159735170.0
2017-02-24,26.36,27.75,27.3,26.16,9051617.0,244612810.0
2017-02-23,25.57,26.45,26.25,25.44,4890137.0,127025798.0
2017-02-22,25.99,26.05,25.73,25.5,2923000.0,75161922.0
2017-02-21,25.5,25.97,25.9,25.35,2787123.0,71859734.0
2017-02-20,25.9,25.9,25.55,25.02,4289479.0,109049595.0
2017-02-17,26.79,27.3,26.0,25.9,6522637.0,172999730.0
2017-02-16,27.16,27.3,26.92,26.57,6342653.0,170786733.0
2017-02-15,27.4,28.28,27.54,27.3,10636617.0,295902948.0
2017-02-14,26.59,27.44,27.28,26.53,5316162.0,143796073.0
