date,open,high,close,low,volume,amount
2017-03-28,52.19,52.29,50.89,50.86,1518422.0,78326553.0
2017-03-27,52.73,52.75,52.24,52.06,1183322.0,62017851.0
2017-03-24,52.81,52.99,52.72,52.36,1713130.0,90243846.0
2017-03-23,52.23,52.85,52.7,51.5,2078973.0,108808338.0
2017-03-22,52.6,52.85,52.45,51.2,2172087.0,113064571.0
2017-03-21,52.42,53.57,52.97,52.4,2005013.0,106387599.0
2017-03-20,52.0,52.59,52.52,51.59,2045218.0,106547739.0
2017-03-17,54.63,55.19,52.76,51.5,6455023.0,345928285.0
2017-03-16,56.0,57.5,56.97,54.5,5146988.0,287161427.0
2017-03-15,53.0,55.48,55.36,52.86,5772828.0,314911810.0
2017-03-14,53.02,53.5,53.37,52.56,2225968.0,117847364.0
2017-03-13,52.42,53.51,53.39,52.02,3334495.0,176562520.0
2017-03-10,49.74,54.5,52.45,49.57,3971931.0,207066250.0
2017-03-09,49.92,49.92,49.65,49.31,848767.0,42048808.0
2017-03-08,49.6,50.24,49.9,49.31,987856.0,49249585.0
2017-03-07,49.32,49.82,49.81,48.9,1071186.0,52934246.0
2017-03-06,48.3,49.15,49.14,48.11,750298.0,36580371.0
2017-03-03,47.15,48.41,48.19,47.15,516251.0,24761967.0
2017-03-02,48.47,48.99,48.35,48.28,460418.0,22329128.0
2017-03-01,48.7,48.99,48.46,48.3,550536.0,26794509.0
2017-02-28,49.22,49.22,48.78,48.23,1139894.0,55400604.0
2017-02-27,49.56,49.81,49.23,49.09,597451.0,29487351.0
2017-02-24,48.75,49.85,49.64,48.75,952508.0,46986650.0
2017-02-23,48.5,49.22,48.77,48.28,565880.0,27550289.0
2017-02-22,48.52,49.53,48.7,47.15,546804.0,26567622.0
2017-02-21,48.02,50.15,48.81,47.88,528464.0,25951587.0
2017-02-20,48.48,48.82,48.07,46.87,548533.0,26336940.0
2017-02-17,49.65,50.09,48.51,48.47,666443.0,32716414.0
2017-02-16,50.05,50.21,49.64,49.3,631400.0,31385484.0
2017-02-15,50.0,50.86,50.14,49.8,898324.0,45246424.0
2017-02-14,49.52,50.76,50.01,49.52,799808.0,39975794.0
2017-02-13,49.02,50.35,49.83,48.7,885240.0,43955683.0
2017-02-10,49.02,50.0,49.24,48.88,682540.0,33647496.0
2017-02-09,48.51,49.85,49.46,48.51,703424.0,34611330.0
2017-02-08,48.16,48.94,48.7,48.01,439084.0,21287625.0
2017-02-07,49.0,49.2,48.32,48.01,524300.0,25411019.0
2017-02-06,47.9,48.8,48.78,47.9,497260.0,24046178.0
2017-02-03,48.72,48.72,47.83,47.7,210200.0,10067173.0
2017-01-26,47.95,48.4,47.86,47.31,321911.0,15438086.0
2017-01-25,47.8,47.95,47.84,47.53,318351.0,15215746.0
2017-01-24,48.18,48.71,47.73,47.6,250600.0,11989681.0
2017-01-23,47.44,48.28,48.0,47.44,430469.0,20636762.0
2017-01-20,46.3,47.69,47.49,46.3,582240.0,27563382.0
2017-01-19,46.48,47.39,46.69,45.55,590954.0,27647777.0
2017-01-18,47.46,47.47,46.48,46.4,455111.0,21345153.0
2017-01-17,46.05,48.47,47.7,44.0,1014341.0,47259785.0
2017-01-16,50.99,50.99,47.12,46.54,1760688.0,85836280.0
2017-01-13,53.24,54.29,51.71,51.5,1647972.0,87223117.0
2017-01-12,51.25,54.3,52.88,51.25,2123340.0,112161713.0
2017-01-11,52.4,52.4,51.23,51.03,808734.0,41769102.0
2017-01-10,51.99,52.5,52.0,51.75,889517.0,46376164.0
2017-01-09,52.01,52.5,51.8,51.41,1026304.0,53226665.0
2017-01-06,54.68,54.85,52.37,52.05,1612012.0,85769351.0
2017-01-05,55.05,55.25,54.71,54.69,988987.0,54316716.0
2017-01-04,54.9,55.21,55.05,54.64,973332.0,53439822.0
2017-01-03,54.21,54.88,54.82,54.2,779876.0,42561037.0
2016-12-30,54.7,54.97,54.3,54.06,738801.0,40268281.0
2016-12-29,54.81,55.2,54.76,54.7,792551.0,43536686.0
2016-12-28,54.89,55.09,54.96,54.6,977908.0,53690175.0
2016-12-27,54.5,55.0,54.92,54.21,1288314.0,70654599.0
2016-12-26,54.31,55.09,54.93,52.88,1527371.0,82645531.0
2016-12-23,55.35,55.45,54.51,54.18,1958114.0,107259744.0
2016-12-22,55.9,55.95,55.58,54.28,2608538.0,143743730.0
2016-12-21,57.68,57.7,55.96,55.6,2042602.0,114936175.0
2016-12-20,56.11,56.98,56.53,55.33,1619027.0,90684638.0
2016-12-19,56.5,56.99,56.22,55.8,1494009.0,84016851.0
2016-12-16,58.99,59.0,56.74,55.19,4091702.0,232516376.0
2016-12-15,65.41,65.41,59.78,56.8,3775148.0,226610303.0
2016-12-14,63.74,63.74,59.46,57.01,3679998.0,224067902.0
2016-12-13,65.0,65.65,63.34,61.5,2544658.0,161815875.0
2016-12-12,68.13,68.44,64.86,63.7,3221135.0,211943435.0
2016-12-09,66.95,68.06,67.46,65.28,5372593.0,358507844.0
2016-12-08,65.23,67.3,67.28,64.7,6463867.0,428099180.0
2016-12-07,64.65,66.0,65.0,64.0,3382929.0,220482987.0
2016-12-06,65.18,66.5,64.72,64.4,1654878.0,107418620.0
2016-12-05,63.9,65.2,65.14,63.05,2139351.0,137661966.0
2016-12-02,67.32,67.55,65.3,63.9,3140078.0,204775022.0
2016-12-01,64.21,67.01,66.72,61.2,2380533.0,154669779.0
2016-11-30,64.25,64.55,64.46,62.92,1729646.0,110619899.0
2016-11-29,67.13,67.57,64.3,64.0,2320932.0,153330674.0
2016-11-28,68.9,68.9,67.45,67.0,1732116.0,117001103.0
2016-11-25,68.12,69.99,68.96,65.5,3068693.0,208348450.0
2016-11-24,69.24,70.37,69.02,67.6,3689020.0,254659842.0
2016-11-23,69.9,70.98,70.07,69.27,4095504.0,287199627.0
2016-11-22,68.05,71.0,70.77,68.05,5558118.0,387969797.0
2016-11-21,66.82,68.03,68.0,65.08,3464816.0,230643692.0
2016-11-18,66.56,68.1,66.89,65.81,2713021.0,182432248.0
2016-11-17,65.13,66.59,66.15,65.02,2213235.0,145970958.0
2016-11-16,68.08,68.42,65.55,65.11,3781933.0,253069037.0
2016-11-15,69.76,70.2,68.28,67.85,3484426.0,239379013.0
