date,open,high,close,low,volume,amount
2016-11-14,73.3,74.3,69.93,69.88,5315808.0,380189863.0
2016-11-11,72.4,75.5,73.88,72.05,7919659.0,583635692.0
2016-11-10,70.3,74.88,73.27,69.5,9050926.0,655091417.0
2016-11-09,68.63,70.98,69.75,67.61,6128032.0,423814965.0
2016-11-08,69.0,69.4,68.73,67.62,3773627.0,258305358.0
2016-11-07,68.44,69.48,68.86,67.51,4411331.0,302647958.0
2016-11-04,68.0,68.99,68.22,66.8,5448335.0,369749481.0
2016-11-03,71.21,73.19,69.28,67.8,8967689.0,634709835.0
2016-11-02,69.9,75.14,72.7,69.02,11068669.0,796179527.0
2016-11-01,72.9,77.99,72.2,70.11,14931487.0,1102829326.0
2016-10-31,67.9,73.01,73.01,66.81,17309831.0,1211643782.0
2016-10-28,66.37,66.37,66.37,66.37,409834.0,27200683.0
2016-10-27,60.34,60.34,60.34,60.34,3203940.0,193325740.0
2016-10-26,54.85,54.85,54.85,54.85,252402.0,13844250.0
2016-10-25,49.86,49.86,49.86,49.86,168844.0,8418562.0
2016-10-24,45.33,45.33,45.33,45.33,182669.0,8280386.0
2016-10-21,41.21,41.21,41.21,41.21,101734.0,4192458.0
2016-10-20,37.46,37.46,37.46,37.46,29500.0,1105070.0
2016-10-19,34.05,34.05,34.05,34.05,33411.0,1137645.0
2016-10-18,30.95,30.95,30.95,30.95,30062.0,930419.0
2016-10-17,28.14,28.14,28.14,28.14,11700.0,329238.0
2016-10-14,25.58,25.58,25.58,25.58,18211.0,465837.0
2016-10-13,23.25,23.25,23.25,23.25,9800.0,227850.0
2016-10-12,21.14,21.14,21.14,21.14,5100.0,107814.0
2016-10-11,19.22,19.22,19.22,19.22,1600.0,30752.0
2016-10-10,14.56,17.47,17.47,14.56,8936.0,155821.0
